label,message
1,FREE entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
1,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
1,"You have won a £1,000 cash prize! Call 09061743811 from landline. Expires 12/04. T&Cs apply."
1,Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now.
1,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03. This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU"
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
1,Todays Vodafone numbers ending in 4882 are selected to receive a special prize. To claim dial *123*888# now!
1,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871 277 4507
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
1,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S&R POINTS. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
1,Want explicit sex? Watch celebs go at it in their own bedroom! Go to http://xxx.celeb-porn.com REPLY STOP to opt out
1,Claim your free £50 Marks & Spencer voucher now! Just text VOUCHER to 65432. Ts&Cs apply. Ends midnight.
1,Your FREE ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney BOTH for FREE!
1,+449071512431 URGENT! This is the 2nd attempt to contact u. U have WON £1250 CALL 09071512433 b4 050703 T&Cs SAE BOX 326 CW25WX
1,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Instant online decision www.ukloanstoday.com or call now 08702417866"
1,Win a £200 shopping spree every week. Just answer this question: What colour is grass? A)Green B)Red. Text A or B to 80062 now! 150p/msg
1,ALERT: Your account has been suspended. Verify your details at http://secure-bank-verify.net or call 0800-00-0000 immediately.
1,As a Preferred Customer you are now entitled to a special discount. Text YES to 9876 for your exclusive 50% coupon! Charges apply.
1,You've been pre-approved for a payday loan up to £5000! No credit check needed. Call 0800-555-1234 before midnight tonight.
1,FREE MSG: Take a 1 min survey and win a £500 Tesco giftcard. txt SHOP to 64321. 1 winner per week. 18+. Ts&Cs apply.
0,Ok lar... Joking wif u oni...
0,U dun say so early hor... U c already then say...
0,"Nah I don't think he goes to usf, he lives around here though"
0,Even my brother is not like to speak with me. They treat me like aids patent.
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise.
0,Siva is in hostel aha...
0,"I am not in a bad mood, I'm just tired and hungry and trying to find my keys"
0,Shall I call you now?
0,What you doing? How are you?
0,Hey! Are you free tomorrow afternoon? Thinking of heading to the mall.
0,Can you grab some milk on your way back? We're out.
0,"I'll be there by 7. Running a bit late, traffic is bad near the station."
0,Did you watch the match last night? Crazy ending.
0,Mom said dinner is at 6. Don't forget to bring the charger.
0,"Yes, I got the assignment done. Sending it over in a bit."
0,"Sorry for the late reply, was in a meeting all afternoon. Let's catch up tomorrow?"
0,Happy birthday! Hope you have a great day
0,Just landed. Will call once I'm through customs.
0,The notes from today's lecture are on the group drive. Check the Week 7 folder.
0,You've won our internal employee raffle! Come collect your 500 canteen coupon from HR by Friday.
0,Reminder: Your electricity bill of 1240 is due on the 15th. Pay at www.msedcl.in
1,"Dear Customer, your KYC is incomplete. Click here to update: http://kyc-update-bank.xyz"
0,OTP for your SBI transaction is 847291. Do not share this with anyone. Valid for 5 minutes.
1,Congratulations! Your number was drawn in our lucky dip. Call 9876543210 to claim your prize before 6pm.
0,Your Zomato order #4523 has been picked up and is on the way. Estimated delivery: 30 mins.
1,Get a free credit score check and unlock a pre-approved loan of 200000 instantly. Apply now: bit.ly/freecredit
0,"Hi, this is Dr. Sharma's clinic. Your appointment is confirmed for Thursday at 11:00 AM. Please carry your reports."
1,Work from home and earn 5000/day! No experience needed. WhatsApp us at 9090909090 to start today.
0,Your PNR 4521876234 is confirmed. Train departs at 06:20 from NDLS. Platform will be updated 4 hours before departure.
